相似度阈值	fea1906	fea20210326
0.6	0.0738 	0.6035 
0.61	0.1236 	0.7178 
0.62	0.1344 	0.8601 
0.63	0.1828 	0.9447 
0.64	0.2344 	0.9731 
0.65	0.2614 	0.9873 
0.66	0.3427 	0.9932 
0.67	0.3842 	0.9954 
0.68	0.4792 	0.9950 
0.69	0.5567 	0.9952 
0.7	0.6520 	0.9949 
0.71	0.7276 	0.9947 
0.72	0.7878 	0.9947 
0.73	0.8531 	0.9922 
0.74	0.8961 	0.9906 
0.75	0.9193 	0.9895 
0.76	0.9455 	0.9840 
0.77	0.9477 	0.9786 
0.78	0.9496 	0.9715 
0.79	0.9471 	0.9650 
0.8	0.9385 	0.9576 
0.81	0.9305 	0.9477 
0.82	0.9207 	0.9380 
0.83	0.9075 	0.9265 
0.84	0.8891 	0.9130 
0.85	0.8725 	0.8957 
0.86	0.8535 	0.8773 
0.87	0.8347 	0.8607 
0.88	0.8143 	0.8397 
0.89	0.7943 	0.8192 
0.9	0.7735 	0.7963 
